cookie,php,reactphp,werkzeug
''+=foo,"{""''+"": ""foo""}","{""'' "": ""foo""}","{""''+"": ""foo""}"
''.=foo,"{""''_"": ""foo""}","{""''."": ""foo""}","{""''."": ""foo""}"
'';=foo,"{""''"": """"}","{"""": ""foo""}","{""''"": """", ""foo"": """"}"
''[=foo,"{""''_"": ""foo""}","{""''["": ""foo""}","{""''["": ""foo""}"
'' =foo,"{""''_"": ""foo""}","{""'' "": ""foo""}","{""''"": ""foo""}"
'0+=foo,"{""'0+"": ""foo""}","{""'0 "": ""foo""}","{""'0+"": ""foo""}"
'0.=foo,"{""'0_"": ""foo""}","{""'0."": ""foo""}","{""'0."": ""foo""}"
'0;=foo,"{""'0"": """"}","{"""": ""foo""}","{""'0"": """", ""foo"": """"}"
'0[=foo,"{""'0_"": ""foo""}","{""'0["": ""foo""}","{""'0["": ""foo""}"
'0 =foo,"{""'0_"": ""foo""}","{""'0 "": ""foo""}","{""'0"": ""foo""}"
'1+=foo,"{""'1+"": ""foo""}","{""'1 "": ""foo""}","{""'1+"": ""foo""}"
'1.=foo,"{""'1_"": ""foo""}","{""'1."": ""foo""}","{""'1."": ""foo""}"
'1;=foo,"{""'1"": """"}","{"""": ""foo""}","{""'1"": """", ""foo"": """"}"
'1[=foo,"{""'1_"": ""foo""}","{""'1["": ""foo""}","{""'1["": ""foo""}"
'1 =foo,"{""'1_"": ""foo""}","{""'1 "": ""foo""}","{""'1"": ""foo""}"
'a+=foo,"{""'a+"": ""foo""}","{""'a "": ""foo""}","{""'a+"": ""foo""}"
'a.=foo,"{""'a_"": ""foo""}","{""'a."": ""foo""}","{""'a."": ""foo""}"
'a;=foo,"{""'a"": """"}","{"""": ""foo""}","{""'a"": """", ""foo"": """"}"
'a[=foo,"{""'a_"": ""foo""}","{""'a["": ""foo""}","{""'a["": ""foo""}"
'a =foo,"{""'a_"": ""foo""}","{""'a "": ""foo""}","{""'a"": ""foo""}"
'b+=foo,"{""'b+"": ""foo""}","{""'b "": ""foo""}","{""'b+"": ""foo""}"
'b.=foo,"{""'b_"": ""foo""}","{""'b."": ""foo""}","{""'b."": ""foo""}"
'b;=foo,"{""'b"": """"}","{"""": ""foo""}","{""'b"": """", ""foo"": """"}"
'b[=foo,"{""'b_"": ""foo""}","{""'b["": ""foo""}","{""'b["": ""foo""}"
'b =foo,"{""'b_"": ""foo""}","{""'b "": ""foo""}","{""'b"": ""foo""}"
'A+=foo,"{""'A+"": ""foo""}","{""'A "": ""foo""}","{""'A+"": ""foo""}"
'A.=foo,"{""'A_"": ""foo""}","{""'A."": ""foo""}","{""'A."": ""foo""}"
'A;=foo,"{""'A"": """"}","{"""": ""foo""}","{""'A"": """", ""foo"": """"}"
'A[=foo,"{""'A_"": ""foo""}","{""'A["": ""foo""}","{""'A["": ""foo""}"
'A =foo,"{""'A_"": ""foo""}","{""'A "": ""foo""}","{""'A"": ""foo""}"
'B+=foo,"{""'B+"": ""foo""}","{""'B "": ""foo""}","{""'B+"": ""foo""}"
'B.=foo,"{""'B_"": ""foo""}","{""'B."": ""foo""}","{""'B."": ""foo""}"
'B;=foo,"{""'B"": """"}","{"""": ""foo""}","{""'B"": """", ""foo"": """"}"
'B[=foo,"{""'B_"": ""foo""}","{""'B["": ""foo""}","{""'B["": ""foo""}"
'B =foo,"{""'B_"": ""foo""}","{""'B "": ""foo""}","{""'B"": ""foo""}"
'!+=foo,"{""'!+"": ""foo""}","{""'! "": ""foo""}","{""'!+"": ""foo""}"
'!.=foo,"{""'!_"": ""foo""}","{""'!."": ""foo""}","{""'!."": ""foo""}"
'!;=foo,"{""'!"": """"}","{"""": ""foo""}","{""'!"": """", ""foo"": """"}"
'![=foo,"{""'!_"": ""foo""}","{""'!["": ""foo""}","{""'!["": ""foo""}"
'! =foo,"{""'!_"": ""foo""}","{""'! "": ""foo""}","{""'!"": ""foo""}"
"'""+=foo","{""'\""+"": ""foo""}","{""'\"" "": ""foo""}","{""'\""+"": ""foo""}"
"'"".=foo","{""'\""_"": ""foo""}","{""'\""."": ""foo""}","{""'\""."": ""foo""}"
"'"";=foo","{""'\"""": """"}","{"""": ""foo""}","{""'\"""": """", ""foo"": """"}"
"'""[=foo","{""'\""_"": ""foo""}","{""'\""["": ""foo""}","{""'\""["": ""foo""}"
"'"" =foo","{""'\""_"": ""foo""}","{""'\"" "": ""foo""}","{""'\"""": ""foo""}"
'#+=foo,"{""'#+"": ""foo""}","{""'# "": ""foo""}","{""'#+"": ""foo""}"
'#.=foo,"{""'#_"": ""foo""}","{""'#."": ""foo""}","{""'#."": ""foo""}"
'#;=foo,"{""'#"": """"}","{"""": ""foo""}","{""'#"": """", ""foo"": """"}"
'#[=foo,"{""'#_"": ""foo""}","{""'#["": ""foo""}","{""'#["": ""foo""}"
'# =foo,"{""'#_"": ""foo""}","{""'# "": ""foo""}","{""'#"": ""foo""}"
'$+=foo,"{""'$+"": ""foo""}","{""'$ "": ""foo""}","{""'$+"": ""foo""}"
'$.=foo,"{""'$_"": ""foo""}","{""'$."": ""foo""}","{""'$."": ""foo""}"
'$;=foo,"{""'$"": """"}","{"""": ""foo""}","{""'$"": """", ""foo"": """"}"
'$[=foo,"{""'$_"": ""foo""}","{""'$["": ""foo""}","{""'$["": ""foo""}"
'$ =foo,"{""'$_"": ""foo""}","{""'$ "": ""foo""}","{""'$"": ""foo""}"
'%+=foo,"{""'%+"": ""foo""}","{""'% "": ""foo""}","{""'%+"": ""foo""}"
'%.=foo,"{""'%_"": ""foo""}","{""'%."": ""foo""}","{""'%."": ""foo""}"
'%;=foo,"{""'%"": """"}","{"""": ""foo""}","{""'%"": """", ""foo"": """"}"
'%[=foo,"{""'%_"": ""foo""}","{""'%["": ""foo""}","{""'%["": ""foo""}"
'% =foo,"{""'%_"": ""foo""}","{""'% "": ""foo""}","{""'%"": ""foo""}"
'&+=foo,"{""'&+"": ""foo""}","{""'& "": ""foo""}","{""'&+"": ""foo""}"
'&.=foo,"{""'&_"": ""foo""}","{""'&."": ""foo""}","{""'&."": ""foo""}"
'&;=foo,"{""'&"": """"}","{"""": ""foo""}","{""'&"": """", ""foo"": """"}"
'&[=foo,"{""'&_"": ""foo""}","{""'&["": ""foo""}","{""'&["": ""foo""}"
'& =foo,"{""'&_"": ""foo""}","{""'& "": ""foo""}","{""'&"": ""foo""}"
'\+=foo,"{""'\\+"": ""foo""}","{""'\\ "": ""foo""}","{""'\\+"": ""foo""}"
'\.=foo,"{""'\\_"": ""foo""}","{""'\\."": ""foo""}","{""'\\."": ""foo""}"
'\;=foo,"{""'\\"": """"}","{"""": ""foo""}","{""'\\"": """", ""foo"": """"}"
'\[=foo,"{""'\\_"": ""foo""}","{""'\\["": ""foo""}","{""'\\["": ""foo""}"
'\ =foo,"{""'\\_"": ""foo""}","{""'\\ "": ""foo""}","{""'\\"": ""foo""}"
'(+=foo,"{""'(+"": ""foo""}","{""'( "": ""foo""}","{""'(+"": ""foo""}"
'(.=foo,"{""'(_"": ""foo""}","{""'(."": ""foo""}","{""'(."": ""foo""}"
'(;=foo,"{""'("": """"}","{"""": ""foo""}","{""'("": """", ""foo"": """"}"
'([=foo,"{""'(_"": ""foo""}","{""'(["": ""foo""}","{""'(["": ""foo""}"
'( =foo,"{""'(_"": ""foo""}","{""'( "": ""foo""}","{""'("": ""foo""}"
')+=foo,"{""')+"": ""foo""}","{""') "": ""foo""}","{""')+"": ""foo""}"
').=foo,"{""')_"": ""foo""}","{""')."": ""foo""}","{""')."": ""foo""}"
');=foo,"{""')"": """"}","{"""": ""foo""}","{""')"": """", ""foo"": """"}"
')[=foo,"{""')_"": ""foo""}","{""')["": ""foo""}","{""')["": ""foo""}"
') =foo,"{""')_"": ""foo""}","{""') "": ""foo""}","{""')"": ""foo""}"
'*+=foo,"{""'*+"": ""foo""}","{""'* "": ""foo""}","{""'*+"": ""foo""}"
'*.=foo,"{""'*_"": ""foo""}","{""'*."": ""foo""}","{""'*."": ""foo""}"
'*;=foo,"{""'*"": """"}","{"""": ""foo""}","{""'*"": """", ""foo"": """"}"
'*[=foo,"{""'*_"": ""foo""}","{""'*["": ""foo""}","{""'*["": ""foo""}"
'* =foo,"{""'*_"": ""foo""}","{""'* "": ""foo""}","{""'*"": ""foo""}"
'+'=foo,"{""'+'"": ""foo""}","{""' '"": ""foo""}","{""'+'"": ""foo""}"
'+0=foo,"{""'+0"": ""foo""}","{""' 0"": ""foo""}","{""'+0"": ""foo""}"
'+1=foo,"{""'+1"": ""foo""}","{""' 1"": ""foo""}","{""'+1"": ""foo""}"
'+a=foo,"{""'+a"": ""foo""}","{""' a"": ""foo""}","{""'+a"": ""foo""}"
'+b=foo,"{""'+b"": ""foo""}","{""' b"": ""foo""}","{""'+b"": ""foo""}"
'+A=foo,"{""'+A"": ""foo""}","{""' A"": ""foo""}","{""'+A"": ""foo""}"
'+B=foo,"{""'+B"": ""foo""}","{""' B"": ""foo""}","{""'+B"": ""foo""}"
'+!=foo,"{""'+!"": ""foo""}","{""' !"": ""foo""}","{""'+!"": ""foo""}"
"'+""=foo","{""'+\"""": ""foo""}","{""' \"""": ""foo""}","{""'+\"""": ""foo""}"
'+#=foo,"{""'+#"": ""foo""}","{""' #"": ""foo""}","{""'+#"": ""foo""}"
'+$=foo,"{""'+$"": ""foo""}","{""' $"": ""foo""}","{""'+$"": ""foo""}"
'+%=foo,"{""'+%"": ""foo""}","{""' %"": ""foo""}","{""'+%"": ""foo""}"
'+&=foo,"{""'+&"": ""foo""}","{""' &"": ""foo""}","{""'+&"": ""foo""}"
'+\=foo,"{""'+\\"": ""foo""}","{""' \\"": ""foo""}","{""'+\\"": ""foo""}"
'+(=foo,"{""'+("": ""foo""}","{""' ("": ""foo""}","{""'+("": ""foo""}"
'+)=foo,"{""'+)"": ""foo""}","{""' )"": ""foo""}","{""'+)"": ""foo""}"
'+*=foo,"{""'+*"": ""foo""}","{""' *"": ""foo""}","{""'+*"": ""foo""}"
'++=foo,"{""'++"": ""foo""}","{""'  "": ""foo""}","{""'++"": ""foo""}"
"'+,=foo","{""'+,"": ""foo""}","{""' ,"": ""foo""}","{""'+,"": ""foo""}"
'+-=foo,"{""'+-"": ""foo""}","{""' -"": ""foo""}","{""'+-"": ""foo""}"
'+.=foo,"{""'+_"": ""foo""}","{""' ."": ""foo""}","{""'+."": ""foo""}"
'+/=foo,"{""'+/"": ""foo""}","{""' /"": ""foo""}","{""'+/"": ""foo""}"
'+:=foo,"{""'+:"": ""foo""}","{""' :"": ""foo""}","{""'+:"": ""foo""}"
'+;=foo,"{""'+"": """"}","{"""": ""foo""}","{""'+"": """", ""foo"": """"}"
'+<=foo,"{""'+<"": ""foo""}","{""' <"": ""foo""}","{""'+<"": ""foo""}"
'+==foo,"{""'+"": ""=foo""}","{""' "": ""=foo""}","{""'+"": ""=foo""}"
'+>=foo,"{""'+>"": ""foo""}","{""' >"": ""foo""}","{""'+>"": ""foo""}"
'+?=foo,"{""'+?"": ""foo""}","{""' ?"": ""foo""}","{""'+?"": ""foo""}"
